screen_name,location,created_at,language,created_year
anairamzen,México DF,2011-02-15 01:17:42,,2011
fernandiux_89,México D.F.,2009-09-12 19:28:45,,2009
Letysha44,,2012-12-05 06:23:41,,2012
ROLEX,"Geneva, Switzerland",2012-02-16 12:59:18,,2012
Kcharris63,Englewood Chicago,2009-02-22 15:52:18,,2009
Original_Turner,Hook Em' Horns,2012-04-23 04:17:29,,2012
D_Ross3,"Tallahassee, FL",2014-09-29 21:50:23,,2014
TWroten_LOE,"Seattle, WA",2011-07-01 13:08:59,,2011
EASPORTSNBA,It's In The Game,2009-06-10 17:38:58,,2009
benzobrist18,,2014-01-26 00:52:07,,2014
AndreDrummond,New York/Connecticut/Cleveland,2011-01-30 04:51:54,,2011
patbev21,"ÜT: 43.629131,-89.790635",2009-11-24 18:54:06,,2009
OrlandoMagic,"Orlando, FL",2009-01-26 14:49:50,,2009
andre,S.G.,2011-07-07 22:59:50,,2011
BossCedes,JaydnWorld,2011-09-05 02:13:36,,2011
CJMcCollum,,2009-11-27 04:39:59,,2009
KrisBryant_23,,2012-03-18 03:48:09,,2012
DexterFowler,,2010-04-03 04:00:01,,2010
ARizzo44,"Chicago, IL",2012-10-31 19:24:35,,2012
NBA,,2009-02-02 19:04:42,,2009
JaValeMcGee,"Cleveland, OH",2009-03-17 04:20:57,,2009
RealDealBeal23,STL -- Gainesville -- DC,2010-06-08 06:00:14,,2010
Goran_Dragic,"Miami, FL - Ljubljana  🇸🇮",2011-08-17 13:48:24,,2011
NBAHistory,,2010-07-26 18:29:04,,2010
PFTCommenter,"New York, NY",2012-10-02 21:14:31,,2012
emmanuelmudiay,,2015-01-28 21:38:53,,2015
VicMensa,"Chicago, IL",2009-03-02 18:28:36,,2009
Suns,"Phoenix, AZ",2008-12-30 16:41:54,,2008
thekidet,,2009-11-19 16:09:44,,2009
22wiggins,Toronto///Minnesota,2010-12-27 22:31:27,,2010
BooBabi079,iDont GiveAFuck Avenue.,2010-03-09 14:22:19,,2010
MeyersLeonard,,2009-09-22 01:01:53,,2009
nbastats,,2011-04-16 15:14:58,,2011
JCrossover,Seattle,2011-09-22 00:55:53,,2011
WashWizards,"Washington, DC",2008-06-03 13:23:47,,2008
NBATV,USA,2009-03-19 15:35:26,,2009
swish41,Dallas,2010-10-20 20:45:57,,2010
fakeshoredrive,"Chicago, IL",2008-09-15 21:11:19,,2008
Quezziwitdauzi,"Richmond, IN",2015-08-19 02:56:30,,2015
chicagobulls,Chicago,2008-09-09 22:43:45,,2008
Pacers,"Indianapolis, IN",2009-01-23 19:37:33,,2009
NBAonTNT,"Atlanta, GA",2009-02-27 19:32:32,,2009
javy23baez,,2012-04-14 04:14:27,,2012
Youngcocky6040,N 41°34' 0'' / W 87°33' 0'',2010-06-09 08:12:39,,2010
Bucks,"Milwaukee, WI",2008-08-19 03:36:35,,2008
nikebasketball,"Beaverton, Oregon",2007-05-09 03:45:59,,2007
RereTheeShit,"Hammond, IN",2013-09-18 22:13:06,,2013
paugasol,,2010-07-06 18:37:04,,2010
Cubs,Wrigley Field,2009-05-19 16:06:19,,2009
NBAcom,"Atlanta, GA",2013-04-22 23:24:48,,2013
chrislhayes,Brooklyn,2007-04-11 16:43:58,,2007
JArrieta34,"Austin, Tx",2011-04-22 18:36:15,,2011
Boobiekane,"Chicago, IL",2009-10-09 12:01:52,,2009
InsynsMannen,"Estocolmo, Suecia",2016-07-09 19:40:56,,2016
BarackObama,"Washington, DC",2007-03-05 22:08:25,,2007
FluicellAB,"Gothenburg, Sweden",2016-03-30 14:04:29,,2016
aktiespararna,Sweden,2009-03-19 08:38:12,,2009
OmniEkonomi,"Stockholm, Sweden",2017-02-14 09:02:59,,2017
Investeraren,"Lidingö, Sverige",2012-11-11 23:08:55,,2012
MariaLandeborn,Stockholm,2011-09-13 17:24:38,,2011
aktiealbin,Söderstadion,2012-12-16 22:50:32,,2012
JoeBiden,"Wilmington, DE",2007-03-11 17:51:24,,2007
mattiandpete,,2019-03-21 15:36:52,,2019
soderlund_carl,,2014-07-28 19:36:28,,2014
Investerarfys,,2008-10-27 18:26:15,,2008
samuelssoneric,,2012-11-04 10:38:32,,2012
Hustlarkungen,STHLM Sibirien,2009-02-15 20:47:20,,2009
S_Osmanagic,"Belgrade, Republic of Serbia",2010-06-11 16:45:39,,2010
